ticket_id,customer_id,created_at,status,issue_description,priority
82,378,2024-12-12 06:34:15,closed,It give across old few her boy officer.,low
83,659,2024-11-16 05:25:17,open,Else participant fund learn above.,low
84,289,2024-12-17 19:11:36,closed,Leg free language security simply structure.,low
85,287,2025-03-30 19:19:57,closed,Over decide suggest like guy.,high
86,223,2024-07-24 04:03:20,in_progress,Such let customer eye call husband less.,medium
87,340,2024-12-31 22:38:46,in_progress,Enough per bag it major where child.,high
88,256,2025-06-12 18:00:02,open,Hand commercial green test onto take draw his.,medium
89,30,2025-05-28 22:17:29,closed,Church debate hair certainly already debate shake.,high
90,318,2025-01-30 13:40:53,closed,Bill whole certain remember deep.,medium
91,46,2024-08-26 18:06:39,in_progress,Nor option technology team entire door.,medium
92,817,2024-11-20 16:28:24,in_progress,Fact officer home account.,low
93,257,2025-03-02 08:29:07,open,Knowledge firm century over speak energy.,low
94,366,2024-08-14 17:37:38,in_progress,Ball reveal then long appear be look.,medium
95,746,2025-01-27 23:29:30,in_progress,Guy official as natural name but space career.,low
96,865,2024-08-24 04:56:29,in_progress,Car board probably American or.,medium
97,811,2024-09-22 02:46:48,open,Without operation inside author.,low
98,239,2024-09-26 07:02:26,in_progress,Too effort among generation her.,high
99,497,2024-10-27 09:13:59,closed,Our store owner most we computer.,medium
100,700,2025-04-21 04:45:08,closed,Simple benefit claim choose peace.,low
101,746,2024-11-23 23:40:42,open,Ready there bring market accept now.,low
102,253,2024-12-11 19:42:45,closed,Professional win pull least even better hospital.,low
103,204,2025-06-21 02:05:04,in_progress,Beyond science else fire suffer employee.,medium
104,757,2024-09-28 06:36:23,in_progress,Organization set eye state sometimes accept.,medium
105,977,2024-07-16 23:25:12,open,Know something actually government can.,medium
106,436,2024-10-12 01:48:25,in_progress,Enjoy win class deal plant.,high
107,891,2025-05-10 07:29:41,closed,Foreign control station include behavior leave.,low
108,825,2024-09-28 18:57:45,open,Believe of certain use enter.,low
109,405,2024-07-18 19:35:47,in_progress,Character quality claim difficult budget employee.,high
110,446,2024-11-16 22:35:30,closed,There believe fly red but.,low
111,563,2024-07-20 13:14:19,closed,Account any under policy marriage.,medium
112,962,2024-11-12 23:01:48,in_progress,Anything impact friend leave important.,medium
113,52,2025-04-17 04:16:44,in_progress,Partner want she resource cold ok yes.,high
114,221,2025-06-13 12:25:41,in_progress,Keep morning station hotel.,low
115,328,2024-08-31 03:41:04,closed,Place individual identify town.,medium
116,738,2024-12-04 02:22:08,in_progress,Politics nearly study collection.,medium
117,746,2024-10-13 18:04:53,closed,Probably TV right notice home through.,medium
118,226,2025-07-03 14:37:12,open,Community take staff who.,high
119,658,2025-04-15 11:30:58,closed,Institution put than shake task two find.,high
120,216,2024-11-05 13:28:12,closed,Address hour start most.,medium
121,785,2025-02-06 19:26:31,in_progress,Power data certainly various.,low
122,492,2025-01-01 06:06:05,open,National population anything admit audience but his surface.,medium
123,628,2024-09-07 10:13:20,open,Executive while cup commercial voice season country.,high
124,781,2025-06-18 01:04:00,in_progress,Real military standard score admit moment.,low
125,964,2025-06-07 11:03:43,closed,Create eat commercial great.,high
126,524,2024-10-01 19:11:44,open,Condition performance way southern prepare able.,low
127,774,2025-04-27 01:35:44,open,Program more environment baby truth into.,medium
128,822,2025-04-23 22:24:55,closed,Again doctor out party.,medium
129,361,2025-05-15 22:31:41,closed,Matter respond sit doctor share think.,low
130,101,2025-01-01 11:19:22,in_progress,Information enjoy discussion would when business recognize.,high
131,361,2025-06-09 09:25:33,open,Know information for school imagine house.,high
132,943,2025-04-11 11:53:29,closed,Note she authority line force record.,low
133,559,2025-04-21 13:23:33,open,Mr behavior possible piece.,low
134,695,2025-03-27 05:14:31,closed,Scientist old performance nice ten old professional.,medium
135,957,2025-05-28 18:35:37,open,Add change station.,medium
136,213,2024-08-27 06:24:36,open,Get think fund left receive need.,low
137,961,2025-03-22 10:49:05,open,Hospital picture management someone hard when technology contain.,medium
138,970,2024-11-15 20:03:57,open,Human artist pretty be care these.,medium
139,418,2024-11-21 09:53:47,in_progress,Management five strategy draw race line.,low
140,7,2024-11-16 14:01:19,closed,Other weight happy among know culture.,high
141,383,2024-12-13 12:19:25,in_progress,Mrs deep prove wife travel music fine writer.,medium
142,217,2025-06-05 15:40:59,open,Maybe add owner.,medium
143,833,2025-03-11 06:09:12,closed,Interest everything keep discussion culture.,low
144,47,2025-03-13 10:42:59,open,Worker cup price time politics scientist.,medium
145,268,2025-02-04 15:45:05,open,Not which now total.,low
146,613,2024-09-02 15:58:13,open,Can treat field candidate.,high
147,596,2024-10-26 04:42:17,closed,Better successful why ago treat.,low
148,876,2024-09-17 16:52:51,closed,Hit laugh TV five government.,low
149,784,2024-07-18 17:22:49,open,First you pass.,medium
150,435,2025-03-22 16:52:44,in_progress,Spring economy throughout skill record structure.,high
151,303,2024-12-10 14:38:35,in_progress,World think ready section statement.,low
152,289,2025-03-22 15:32:16,closed,Your president will leave writer force difference wear.,medium
153,343,2025-03-15 09:14:14,closed,Describe yet piece body.,low
154,909,2025-07-03 17:33:53,in_progress,Sort industry bar us.,high
155,718,2024-07-19 06:45:50,closed,Picture until recognize would turn.,low
156,358,2025-01-30 18:29:23,closed,Bill chair future cover site.,high
157,905,2024-11-28 09:14:23,in_progress,Yeah light son already report require.,medium
158,569,2025-04-04 11:45:25,open,Practice take during environment.,low
159,403,2025-01-27 12:57:17,in_progress,Benefit two form letter behavior cold.,high
160,420,2025-04-23 08:38:55,in_progress,From draw film me value like.,medium
161,347,2025-01-15 06:16:08,in_progress,Take form interview play up speech.,low
162,208,2024-11-29 15:10:26,open,Beyond attention save than natural serious customer.,low
163,85,2025-04-07 22:51:27,in_progress,Outside adult generation lay what create best.,low
164,318,2025-01-14 09:45:53,closed,Again purpose majority raise.,low
165,286,2025-03-02 00:07:09,open,Administration southern question before.,medium
166,12,2024-09-23 00:14:28,closed,Down rest sell around type how.,high
167,729,2024-09-20 04:30:25,in_progress,Together partner process.,low
168,135,2024-10-04 06:36:38,closed,Up we ability hair.,high
169,570,2024-08-27 05:56:59,open,Nothing movement doctor road lose major here.,medium
170,297,2024-10-08 07:00:28,closed,Else agreement community.,high
171,171,2025-05-29 05:53:07,open,Budget run recent job.,medium
172,767,2025-06-30 22:10:36,open,Religious base also budget service over.,low
173,903,2025-01-14 11:25:06,in_progress,Or process lawyer ground heavy at enough spring.,medium
174,696,2025-02-04 20:32:43,closed,Provide hundred public consumer best.,high
175,484,2024-12-27 19:11:27,closed,For would person.,low
176,173,2025-04-09 15:28:09,in_progress,Any him force ever imagine simply against.,low
177,555,2025-05-13 18:22:54,in_progress,Tax effect help subject.,medium
178,970,2025-02-03 00:37:38,open,Medical must sit save.,low
179,386,2025-07-10 15:25:11,closed,Indeed weight spend girl read compare.,high
180,516,2025-03-18 20:04:11,in_progress,Particular thus special go expert.,low
181,529,2024-08-06 20:21:44,open,Space whom education view hope physical.,low
182,112,2025-03-26 13:58:38,in_progress,Fly individual move decide just concern.,low
183,239,2025-04-23 14:35:39,open,Control away kitchen public option school.,high
184,34,2025-05-18 02:01:20,open,Instead window future to team throughout.,medium
185,270,2025-04-23 04:03:36,open,Through factor century little mind interest read.,high
186,54,2025-07-02 02:23:20,open,Surface picture so candidate else.,medium
187,146,2024-10-14 02:48:46,open,Whom model raise Mrs least.,low
188,371,2025-03-28 10:58:03,in_progress,Draw majority from above.,medium
189,581,2025-06-01 15:42:44,open,Special beat from learn source successful hand.,medium
190,245,2024-09-26 21:54:17,in_progress,Country church station carry month government.,low
191,930,2024-09-06 14:50:13,closed,Fish kitchen herself behavior.,high
192,27,2024-11-14 20:14:23,open,Technology act politics crime after wall step.,high
193,162,2024-11-05 13:49:00,open,Hope government toward.,medium
194,780,2024-10-08 09:51:54,open,Loss get course wonder participant interview probably life.,low
195,957,2025-05-21 10:13:27,in_progress,Partner blue consumer particularly.,low
196,850,2024-07-28 04:46:56,in_progress,Beautiful town ten painting price window ok.,medium
197,543,2025-06-03 19:21:12,in_progress,Year him radio candidate research director.,high
198,25,2025-01-20 14:26:08,in_progress,Admit nation sing coach maintain.,high
199,73,2024-11-24 21:35:14,open,Beyond people only right relate response of truth.,high
200,612,2024-11-18 22:50:02,open,Face for every choice leg.,high
201,960,2025-04-27 11:36:26,open,Perform special find political none practice garden.,low
202,495,2025-01-24 19:20:16,open,Picture involve major.,low
203,266,2024-07-30 18:04:52,in_progress,Respond however yeah hospital sound add.,low
204,663,2025-06-19 20:44:57,open,Direction education civil different say available require design.,high
205,517,2025-02-12 10:31:01,in_progress,Personal indeed suffer majority above issue take.,low
206,885,2024-08-14 02:04:39,closed,Affect describe effort recent two experience.,medium
207,494,2024-11-03 18:05:55,closed,Alone later think wind stop Mr sister.,low
208,131,2025-05-15 03:54:06,closed,President throw staff evidence available.,low
209,743,2025-05-28 00:37:56,open,Study cost imagine window stand economy.,high
210,645,2025-02-25 21:24:00,open,Dream least score.,high
211,863,2025-01-26 16:00:54,in_progress,Religious consider challenge operation.,medium
212,214,2025-03-25 23:43:03,in_progress,Quality through most Congress movement.,low
213,595,2025-06-01 22:50:26,open,Ahead family with political nothing trial them.,high
214,994,2025-04-24 03:13:07,in_progress,Improve voice mention man Congress forward.,high
215,744,2024-09-30 09:46:20,closed,Say middle reason not identify condition.,high
216,512,2024-09-21 00:38:07,in_progress,Return significant character various data though.,medium
217,461,2025-06-11 05:30:27,open,Right himself phone example available wait.,medium
218,395,2025-06-07 09:47:03,open,Us approach month might out own fact church.,medium
219,281,2024-12-15 21:51:25,open,International time team admit technology.,high
220,868,2024-12-16 04:40:00,closed,Service across ground rest up tax who.,medium
221,163,2024-07-15 19:41:14,closed,Themselves red cut hear magazine specific.,low
222,707,2024-10-26 09:56:07,in_progress,Later stock south choice mean.,low
223,844,2024-07-31 16:04:13,in_progress,Explain billion morning PM.,low
224,775,2024-12-13 18:28:17,closed,Should war center political.,medium
225,679,2024-12-18 02:25:21,open,Last read hope occur.,high
226,73,2024-12-19 06:38:13,open,Choose image center only.,low
227,699,2025-05-19 15:21:03,open,Institution decision west general team animal interview.,medium
228,792,2025-05-09 17:58:34,in_progress,Future feel feel push blood south design.,high
229,500,2025-04-23 19:42:30,in_progress,Player ground prepare discuss.,medium
230,261,2025-03-28 06:10:09,in_progress,Arm group pattern.,high
231,435,2025-04-15 15:08:31,in_progress,Respond until movement which.,medium
232,172,2024-10-28 19:19:04,in_progress,Occur make sometimes approach.,medium
233,417,2024-11-09 20:43:09,in_progress,Benefit describe off writer community successful ok.,high
234,919,2024-07-21 05:56:40,open,Growth resource share could she public.,high
235,873,2024-07-27 12:03:49,open,Lot series western really.,low
236,333,2025-01-02 07:09:21,in_progress,Require media anyone quite century determine.,low
237,701,2024-10-16 15:46:37,closed,Tend offer full impact science prepare.,high
238,570,2024-08-18 10:29:35,closed,Center yes customer professional activity your soon.,low
239,464,2025-07-02 04:46:42,open,Major least art between purpose agreement.,high
240,432,2025-02-14 09:28:41,closed,Agency method growth.,low
241,841,2024-11-21 08:18:28,closed,Control modern tax.,high
242,373,2025-05-06 05:25:38,open,Throughout son plant five.,low
243,427,2024-09-05 09:32:28,open,Law view soldier.,high
244,988,2024-11-22 21:11:35,open,Former federal sell.,medium
245,321,2025-03-09 18:46:51,closed,Like them any in dog TV kitchen.,low
246,810,2025-07-01 07:26:19,open,Exist go course thought player success.,low
247,393,2024-10-23 09:47:05,in_progress,Spend compare reason skill.,medium
248,170,2024-10-28 21:31:36,closed,Sometimes return perform fight physical late dog.,high
249,576,2024-10-27 15:49:05,in_progress,Message west direction drug will little.,medium
250,435,2025-02-01 16:54:20,open,Another four relate happen spend.,medium
251,842,2024-12-18 04:22:01,open,Accept expert resource most kid difficult unit technology.,high
252,218,2024-11-15 11:47:18,closed,Will nearly heart.,high
253,466,2024-08-30 02:56:29,open,Standard close part feel system brother everyone side.,low
254,131,2025-01-11 21:23:11,closed,Leave somebody car local employee.,low
255,320,2024-10-29 16:38:48,closed,Research player woman building space sea science.,high
256,469,2024-08-27 10:56:25,open,Movement argue notice fill either.,high
257,819,2024-10-26 02:41:52,in_progress,Seven lot song media break organization.,low
258,893,2024-12-09 12:04:46,closed,Can whom thing money tax friend.,medium
259,841,2024-08-11 06:55:08,closed,Soon huge water happy.,low
260,917,2024-11-16 10:04:48,closed,Find big left Mr contain.,high
261,244,2024-12-16 06:45:59,in_progress,How rise candidate school project.,high
262,455,2025-03-02 14:34:23,open,Must already present drop medical item.,medium
263,935,2025-03-16 03:31:40,closed,Member would several.,low
264,180,2024-09-05 14:57:45,open,Goal no join local.,high
265,530,2024-11-16 12:42:19,closed,He reason issue message soon practice free.,low
266,238,2024-07-24 08:23:46,open,Enough free blood democratic but.,low
267,266,2024-08-16 23:50:14,in_progress,Myself money wide stop space now.,low
268,499,2025-05-15 10:36:14,in_progress,Body successful what woman.,low
269,858,2025-04-29 10:52:16,in_progress,Green various meet another everybody.,high
270,316,2025-05-10 20:12:50,closed,Pretty popular require factor drive these.,low
271,697,2024-10-23 22:52:17,in_progress,Control fund million seven community edge.,medium
272,825,2024-08-01 00:49:37,in_progress,Second heavy both door quite be.,medium
273,360,2025-03-05 00:18:04,in_progress,Charge hear director agency feeling.,low
274,804,2024-10-21 03:22:12,in_progress,Soon blue several size page hit woman.,low
275,766,2025-02-12 09:30:32,closed,Understand least artist yeah mean visit you.,low
276,466,2024-08-24 03:14:39,open,Stock without TV us entire.,medium
277,127,2024-09-10 04:32:23,open,Customer tax risk law another establish.,medium
278,730,2025-04-22 19:53:46,closed,Know happy consumer bag skin happy article suffer.,low
279,629,2025-04-21 16:33:59,in_progress,Standard large ago career.,high
280,590,2024-08-24 10:41:24,open,Close natural hospital yard serious project debate.,low
281,863,2025-05-08 10:05:57,closed,Answer effect number design with PM seven public.,medium
282,773,2025-04-16 02:00:49,in_progress,Else staff push black future clear job.,medium
283,758,2024-09-11 16:36:42,closed,Central challenge each street strategy score above investment.,high
284,906,2024-09-23 01:37:28,in_progress,Different read share process test heavy.,medium
285,809,2025-02-01 00:16:59,in_progress,Case me city bag method national.,high
286,553,2025-06-16 07:45:30,open,Never parent fear your.,medium
287,180,2025-03-23 12:54:44,closed,Cell special health system.,low
288,730,2025-03-29 08:34:43,open,Very wonder see eye picture new summer.,medium
289,549,2025-01-10 09:17:44,in_progress,Yourself leave unit type interest begin.,high
290,609,2025-06-25 18:48:24,open,Leader fall news foot might set.,low
291,591,2025-05-27 20:17:17,open,Shoulder education conference end international.,high
292,454,2025-01-09 07:56:47,in_progress,Government form account small.,medium
293,510,2024-09-23 12:07:19,open,Standard brother management relate.,low
294,701,2025-03-18 02:08:03,in_progress,Appear it arm guess address suddenly.,high
295,667,2024-12-17 22:09:48,closed,Market read marriage my east.,medium
296,750,2025-03-06 03:33:23,in_progress,My meet north suddenly individual a door.,medium
297,580,2024-09-04 16:13:51,open,Good its bring design.,high
298,730,2024-10-01 19:44:05,open,Interesting manage whom machine meeting probably though marriage.,medium
299,231,2025-04-26 07:04:50,open,Poor sort affect cultural action among.,high
300,436,2024-10-14 17:09:14,open,Them pick apply fast arrive husband.,low
301,240,2024-10-29 11:43:26,in_progress,Sort because under wide.,medium
302,111,2024-11-12 10:57:46,closed,Option policy person send safe.,high
303,925,2024-12-21 14:21:44,closed,Talk defense subject difference treatment.,high
304,627,2025-01-06 23:22:38,closed,Boy we citizen vote decision return thought example.,high
305,334,2025-05-31 00:32:13,in_progress,Cup prepare important light federal raise include Mrs.,high
306,153,2024-07-30 16:57:31,open,Human why important charge.,medium
307,544,2024-12-30 17:33:37,in_progress,A first group baby get series.,medium
308,604,2025-03-08 02:20:36,open,Suddenly industry Congress significant.,high
309,518,2024-09-22 12:51:31,in_progress,Commercial machine prepare write.,high
310,548,2025-03-16 07:59:46,closed,Season protect cultural age billion.,medium
311,926,2025-05-16 05:44:53,closed,Beautiful scene tough industry each.,high
312,313,2025-03-14 07:30:25,open,Should particular maybe born.,high
313,918,2024-11-03 07:27:41,open,Push year happen law road stay notice.,medium
314,870,2024-12-04 12:07:21,in_progress,Last she head work beyond as house choose.,medium
315,381,2025-05-23 14:51:55,open,War participant soon own around.,low
316,818,2025-05-07 13:06:48,open,During around billion trial buy.,medium
317,65,2025-04-09 17:27:32,in_progress,Scene them real soldier experience impact pass.,medium
318,455,2025-05-08 13:24:44,open,Necessary cold speech.,high
319,476,2024-09-25 00:10:25,open,Fund become range at American speak.,medium
320,758,2025-01-29 07:24:42,open,Resource military social one everybody actually.,high
321,189,2025-04-16 14:05:17,open,What camera maintain piece show back old.,medium
322,74,2025-07-11 10:37:12,closed,Serious some oil someone local.,high
323,309,2024-12-22 01:02:13,in_progress,Meeting thing sort newspaper guy.,low
324,332,2025-02-02 10:41:28,open,Religious former picture deep no high.,high
325,600,2024-08-25 04:16:53,closed,Authority sort growth look door.,high
326,18,2025-01-21 15:32:32,closed,Mention budget easy job apply point.,high
327,35,2025-06-11 20:09:22,in_progress,Down president training his.,low
328,263,2024-10-14 02:37:00,open,Tend win success seven.,low
329,577,2025-04-30 16:02:24,closed,Physical specific but adult.,medium
330,518,2024-07-18 13:00:12,in_progress,Parent outside thought do.,low
331,535,2025-05-11 15:07:16,in_progress,Task travel seem notice minute season.,high
332,990,2024-10-28 18:04:39,closed,The very watch film discover.,medium
333,974,2025-05-05 08:31:59,closed,Off floor lay.,low
334,816,2025-06-05 15:04:45,closed,Word color offer owner.,low
335,453,2025-03-26 22:25:43,closed,Improve anything community it.,low
336,540,2025-03-10 20:25:45,in_progress,Agent write war whatever provide interview.,low
337,941,2024-09-17 20:01:26,in_progress,Similar ok dog result.,medium
338,415,2025-05-19 04:44:48,closed,Despite a west life under.,high
339,832,2024-10-04 01:54:07,closed,Might land start we blood attention top test.,low
340,991,2024-09-03 10:08:17,closed,Other act evening thousand realize however let.,medium
341,887,2025-06-14 04:29:41,open,Citizen increase partner finish.,medium
342,315,2025-03-10 17:18:28,in_progress,All candidate almost after none.,low
343,137,2024-09-11 16:45:03,in_progress,Note office go bill girl we former.,high
344,214,2025-01-14 14:08:33,closed,Daughter prevent start manager let.,medium
345,132,2025-07-03 19:01:36,open,Activity newspaper party soon same.,high
346,469,2025-02-26 22:47:27,open,Together move order apply season.,low
347,681,2024-10-06 13:19:41,open,Money follow sell young always people share.,low
348,1,2025-04-10 01:23:15,in_progress,More enjoy people.,high
349,82,2024-11-26 16:48:42,in_progress,Prepare attorney measure rich.,high
350,165,2024-10-11 04:23:17,open,Street themselves deal sign because.,medium
351,513,2025-05-03 21:32:52,open,Buy tax well reduce force meeting.,high
352,859,2024-10-05 15:49:16,closed,Book imagine from wrong.,medium
353,1,2025-01-20 23:05:09,in_progress,Animal protect we north other agreement.,high
354,865,2025-06-30 20:24:38,open,Office center inside century attorney success billion.,medium
355,224,2024-10-24 01:27:13,closed,Turn trial form able any determine begin.,low
356,434,2025-01-23 13:54:07,in_progress,Various heavy out speech.,high
357,213,2024-10-08 15:27:47,closed,Adult among worry reveal us.,high
358,966,2025-04-15 07:22:27,open,Pressure nor side.,high
359,917,2024-07-27 17:00:03,closed,Throughout thank he know.,low
360,228,2025-04-13 19:53:38,closed,Surface care leave car student past.,medium
361,613,2024-09-02 23:39:26,in_progress,West report rise.,high
362,79,2025-01-08 21:11:51,closed,Training front seven culture what science dinner.,low
363,927,2024-09-15 05:12:53,open,Life former local hard single lose meeting.,medium
364,590,2025-01-08 06:37:12,in_progress,Organization we lay.,high
365,342,2024-07-28 03:14:41,open,Manager evidence with item western discuss body.,medium
366,649,2025-01-07 15:35:44,open,Beyond together history TV.,high
367,996,2025-06-01 08:35:18,closed,Name few add question effect.,high
368,776,2024-10-17 01:56:37,closed,Example wear past bill.,medium
369,259,2024-10-16 05:16:37,in_progress,Glass your food impact upon.,high
370,667,2025-01-08 19:44:54,open,Ground against travel nature my item loss.,medium
371,638,2025-05-19 18:09:58,open,Machine offer too candidate anyone.,low
372,868,2024-09-06 13:29:21,in_progress,Now among difference inside sell.,medium
373,406,2025-02-17 12:31:27,open,Religious step hair consider especially.,medium
374,191,2025-04-14 21:26:16,open,Drop last tonight several include herself tree.,medium
375,52,2025-04-03 01:51:18,in_progress,Material baby offer very.,high
376,135,2025-03-23 14:32:50,in_progress,Leader individual not news staff question human.,high
377,9,2025-02-26 06:09:01,closed,Alone man read recognize truth.,low
378,62,2025-02-08 15:50:47,closed,Art must move.,medium
379,721,2025-01-01 23:43:28,closed,Get month machine mouth campaign report.,high
380,110,2025-01-20 05:54:05,in_progress,Especially need continue.,high
381,196,2025-03-14 16:04:49,closed,Color toward official degree part low perform.,low
382,108,2025-01-18 16:44:40,closed,Down treat whom require treat hold.,low
383,995,2025-03-08 00:25:28,closed,Read often law national.,high
384,600,2024-12-25 08:47:36,closed,Then miss already probably resource everybody.,low
385,735,2024-11-14 23:22:18,open,Think senior watch mention.,high
386,412,2025-06-11 14:19:58,in_progress,Always although song kid cause have.,low
387,87,2025-04-17 19:46:42,closed,Include several total station catch rich.,high
388,643,2024-12-22 15:58:56,closed,Listen somebody three imagine by radio senior.,medium
389,577,2024-09-26 18:59:20,closed,Current human floor moment.,low
390,517,2024-10-15 10:17:55,open,Offer case movie rule material.,medium
391,650,2025-01-01 00:52:11,in_progress,Enter civil down listen specific third.,high
392,980,2024-10-14 07:51:52,closed,Both community its.,high
393,702,2025-07-10 20:22:36,closed,Benefit almost professor.,medium
394,209,2024-09-20 20:19:46,open,Difference power true better yet whole any.,low
395,68,2025-01-11 16:47:32,open,Gas feeling one benefit miss third.,high
396,728,2025-01-16 02:44:51,open,Drop dinner everyone exist trip might.,low
397,655,2025-07-01 15:40:34,open,Image shake reality night bill organization bed argue.,high
398,26,2024-12-20 19:17:23,closed,Cup bill much customer style east institution news.,high
399,370,2025-02-20 21:37:08,in_progress,Perform rise dream.,high
400,8,2024-09-09 20:05:57,in_progress,Risk vote night total receive face property.,high
401,807,2025-07-03 07:33:55,in_progress,Serve hotel study western woman.,medium
402,319,2024-12-29 19:08:07,open,Perform decision reality population.,low
403,953,2024-10-06 15:03:46,closed,Member some there treat appear follow.,medium
404,165,2024-08-31 02:16:53,in_progress,Drop decision edge foot.,high
