return_id,item_id,reason,return_date
60,31077,late_delivery,2025-02-26 11:04:01
61,98114,changed_mind,2024-11-28 23:15:16
62,126742,damaged,2024-08-25 16:36:39
63,87632,not_as_described,2024-09-14 00:13:04
64,65697,not_as_described,2024-08-13 01:25:19
65,165984,not_as_described,2024-11-10 08:34:15
66,181196,changed_mind,2024-08-02 19:46:32
67,133454,not_as_described,2025-01-08 19:54:06
68,82198,late_delivery,2024-09-22 14:08:58
69,107575,not_as_described,2025-01-19 04:30:41
70,88236,not_as_described,2024-10-12 17:15:01
71,152016,late_delivery,2025-06-06 18:37:07
72,80342,late_delivery,2025-02-11 13:18:50
73,68756,not_as_described,2025-06-05 04:14:18
74,147193,damaged,2025-02-27 14:09:46
75,96569,damaged,2025-01-02 06:49:08
76,37400,late_delivery,2024-08-31 21:23:38
77,77789,damaged,2024-07-29 00:12:07
78,123389,damaged,2024-09-23 22:36:56
79,76674,late_delivery,2024-07-11 10:00:14
80,67026,damaged,2024-07-27 15:44:56
81,6645,changed_mind,2024-08-25 06:16:03
82,111667,changed_mind,2025-05-22 13:45:28
83,152274,late_delivery,2024-10-19 12:39:55
84,46915,late_delivery,2025-04-12 00:14:34
85,44807,not_as_described,2024-08-03 17:18:43
86,31745,changed_mind,2024-10-25 07:49:16
87,154460,damaged,2024-07-23 13:20:28
88,159850,damaged,2025-03-22 07:54:06
89,173899,changed_mind,2025-04-07 14:03:35
90,69151,late_delivery,2025-05-04 05:52:29
91,68605,late_delivery,2024-11-02 04:57:55
92,140951,damaged,2025-06-08 08:42:34
93,105229,late_delivery,2024-08-05 08:59:19
94,120889,late_delivery,2025-01-08 04:21:36
95,20572,damaged,2024-11-30 20:36:15
96,88000,late_delivery,2025-05-16 09:42:11
97,103864,changed_mind,2024-11-01 11:08:36
98,102687,changed_mind,2025-04-22 13:07:18
99,81011,damaged,2024-12-10 01:31:26
100,10200,damaged,2024-11-16 08:19:33
101,98854,damaged,2024-11-19 18:59:08
102,168930,not_as_described,2025-03-04 06:34:35
103,102497,changed_mind,2025-01-10 12:00:21
104,74695,not_as_described,2024-07-31 17:33:17
105,125777,not_as_described,2024-10-22 06:13:48
106,185274,changed_mind,2024-08-05 08:04:33
107,157011,late_delivery,2025-05-30 13:02:05
108,171398,not_as_described,2024-07-15 12:02:37
109,149288,changed_mind,2024-07-14 08:29:56
110,177912,damaged,2025-04-05 22:17:05
111,44965,late_delivery,2025-01-28 13:25:19
112,10916,not_as_described,2025-04-18 08:23:11
113,88797,not_as_described,2024-07-24 04:34:44
114,97376,late_delivery,2025-07-02 03:21:02
115,176960,damaged,2024-12-08 22:01:48
116,152389,changed_mind,2025-05-15 15:53:55
117,6256,damaged,2024-07-12 11:10:16
118,45875,damaged,2024-10-08 12:43:36
119,133554,damaged,2024-11-09 16:01:45
120,88653,not_as_described,2024-10-10 21:31:16
121,31100,not_as_described,2024-09-17 16:16:25
122,107445,not_as_described,2025-01-04 19:32:51
123,146610,damaged,2024-08-27 20:39:44
124,123922,late_delivery,2025-01-25 00:29:00
125,137391,changed_mind,2025-05-12 00:36:18
126,59249,damaged,2024-07-30 13:22:50
127,30811,damaged,2025-03-25 18:35:29
128,192303,damaged,2024-10-06 10:00:22
129,199039,changed_mind,2024-07-28 13:07:21
130,13401,damaged,2024-09-18 23:32:08
131,13673,damaged,2024-07-18 16:20:15
132,172105,not_as_described,2025-01-29 08:05:47
133,27628,not_as_described,2024-09-21 01:12:38
134,61395,not_as_described,2025-02-18 23:08:29
135,167145,damaged,2024-09-04 09:33:22
136,115959,late_delivery,2025-04-16 07:00:08
137,10663,damaged,2025-02-16 12:07:00
138,56697,changed_mind,2024-09-27 17:15:50
139,130880,damaged,2024-12-30 10:47:43
140,183756,late_delivery,2024-09-29 09:21:36
141,198368,changed_mind,2024-12-06 12:44:56
142,112448,not_as_described,2024-12-12 22:17:11
143,19844,not_as_described,2025-03-22 13:02:58
144,39924,late_delivery,2024-07-25 22:20:52
145,56009,late_delivery,2024-10-23 21:53:10
146,98430,late_delivery,2025-01-02 17:47:43
147,176602,late_delivery,2024-08-01 03:25:27
148,45408,damaged,2025-03-18 08:14:27
149,167029,changed_mind,2024-07-27 22:45:34
150,27500,changed_mind,2024-09-19 22:54:34
151,134010,damaged,2025-07-02 03:40:12
152,167326,changed_mind,2025-05-27 21:08:26
153,85020,damaged,2024-07-11 13:14:30
154,8522,late_delivery,2024-12-10 08:08:50
155,16243,not_as_described,2025-01-31 04:35:38
156,168402,changed_mind,2025-03-27 07:45:09
157,155330,damaged,2024-10-07 13:40:22
158,7216,not_as_described,2025-01-14 21:31:08
159,137855,changed_mind,2024-10-06 05:50:37
160,38289,damaged,2025-05-12 15:57:59
161,174301,late_delivery,2024-10-02 07:46:23
162,180477,not_as_described,2025-05-16 19:45:29
163,123605,late_delivery,2025-05-05 13:05:19
164,129110,not_as_described,2025-07-02 05:16:39
165,26509,not_as_described,2025-06-13 03:39:47
166,108687,changed_mind,2025-02-17 04:29:14
167,142486,damaged,2024-11-20 19:37:40
168,52827,changed_mind,2024-11-03 03:40:58
169,144319,late_delivery,2024-07-23 14:54:16
170,151745,late_delivery,2025-03-03 11:22:52
171,41049,late_delivery,2025-03-18 22:07:20
172,174553,late_delivery,2024-11-05 18:34:36
173,74981,late_delivery,2025-03-10 22:39:38
174,102650,changed_mind,2025-06-19 14:28:20
175,47520,changed_mind,2024-10-05 00:12:38
176,84794,changed_mind,2025-02-15 18:37:47
177,97184,late_delivery,2025-04-02 19:42:45
178,110072,not_as_described,2025-06-17 00:05:08
179,84915,not_as_described,2025-05-12 19:21:14
180,182133,damaged,2025-06-27 06:23:14
181,195491,damaged,2025-06-08 09:02:36
182,25134,not_as_described,2025-06-18 03:21:58
183,147683,late_delivery,2024-11-10 07:31:11
184,108464,late_delivery,2025-03-27 02:57:48
185,27231,changed_mind,2024-09-05 14:40:41
186,7680,late_delivery,2025-03-27 10:23:06
187,65382,not_as_described,2024-09-11 08:44:28
188,131949,late_delivery,2024-08-25 21:24:09
189,37134,late_delivery,2024-12-23 17:31:34
190,124660,late_delivery,2025-06-22 00:24:19
191,94867,damaged,2025-02-01 11:27:36
192,159143,late_delivery,2024-08-20 10:51:25
193,127207,not_as_described,2025-01-20 07:03:11
194,47223,changed_mind,2025-05-30 09:35:56
195,48055,not_as_described,2024-10-17 06:24:48
196,105170,not_as_described,2025-03-12 05:55:42
197,54871,late_delivery,2025-01-27 03:48:08
198,155508,not_as_described,2024-09-20 07:47:34
199,46114,not_as_described,2025-03-04 10:07:39
200,47372,damaged,2025-05-11 23:28:00
201,117624,not_as_described,2025-01-28 01:24:29
202,74140,damaged,2024-12-01 00:07:50
203,108715,not_as_described,2025-03-24 18:44:23
204,181070,damaged,2024-10-15 06:02:18
205,259,damaged,2025-01-02 22:59:01
206,94708,late_delivery,2025-07-06 22:22:46
207,10307,damaged,2025-05-23 12:59:16
208,103962,late_delivery,2025-06-29 13:45:30
209,172369,damaged,2024-09-12 21:45:57
210,124440,late_delivery,2024-10-05 14:09:30
211,151869,late_delivery,2025-03-06 11:33:17
212,125628,damaged,2024-09-26 02:19:09
213,15025,changed_mind,2025-04-25 22:57:02
214,135019,late_delivery,2024-11-08 13:27:38
215,287,damaged,2025-05-09 08:31:29
216,121236,late_delivery,2024-09-23 22:32:45
217,37321,changed_mind,2024-10-20 00:06:22
218,131666,late_delivery,2025-06-29 10:06:01
219,170124,damaged,2025-01-12 12:38:48
220,159460,changed_mind,2024-08-04 02:10:12
221,157652,not_as_described,2025-03-18 02:39:05
222,32387,damaged,2024-09-06 20:58:08
223,191462,damaged,2024-07-16 20:42:31
224,105155,late_delivery,2024-08-01 10:27:50
225,22132,changed_mind,2025-04-15 22:16:07
226,47544,late_delivery,2024-07-25 06:58:47
227,25672,damaged,2025-06-30 19:22:38
228,115734,not_as_described,2024-11-01 23:58:06
229,12645,damaged,2025-06-07 16:59:57
230,21962,damaged,2025-01-08 19:45:01
231,184456,changed_mind,2025-06-18 18:47:37
232,117668,not_as_described,2025-07-11 13:23:07
233,131466,damaged,2025-07-03 11:13:27
234,170717,late_delivery,2024-10-07 01:08:53
235,125005,not_as_described,2025-04-26 03:14:15
236,64769,late_delivery,2025-06-20 09:15:27
237,15601,not_as_described,2025-06-29 04:26:51
238,42703,not_as_described,2024-10-11 14:14:28
239,10801,late_delivery,2025-01-28 13:43:14
240,97035,late_delivery,2024-11-22 12:09:36
241,176144,damaged,2024-12-06 12:09:52
242,123775,damaged,2025-03-21 07:27:13
243,194820,damaged,2024-10-03 05:43:51
244,121154,not_as_described,2024-10-29 12:06:56
245,187841,damaged,2025-05-13 05:18:34
246,94569,late_delivery,2024-10-06 19:09:22
247,11670,damaged,2025-03-28 00:44:08
248,151345,damaged,2024-09-22 18:46:04
249,104920,late_delivery,2025-05-28 01:09:21
250,175180,changed_mind,2025-06-16 06:30:09
251,133198,damaged,2025-05-20 22:24:47
252,37839,changed_mind,2024-10-22 14:13:23
253,174547,damaged,2025-05-31 01:16:43
254,35944,damaged,2025-01-10 13:59:37
255,14083,changed_mind,2024-12-05 10:35:17
256,197234,late_delivery,2024-09-18 00:01:46
257,87917,changed_mind,2025-04-20 13:36:00
258,57562,not_as_described,2024-07-31 02:08:30
259,125391,changed_mind,2025-02-13 13:02:11
260,144374,not_as_described,2025-02-06 11:50:11
261,72516,not_as_described,2025-01-26 09:27:26
262,158609,late_delivery,2024-08-26 00:15:04
263,70394,late_delivery,2025-02-16 22:58:36
264,139308,not_as_described,2025-02-20 09:32:29
265,174047,damaged,2024-09-30 21:12:24
266,23144,not_as_described,2025-06-04 09:36:07
267,162305,not_as_described,2024-12-08 11:35:39
268,47616,not_as_described,2025-02-23 05:19:07
269,105884,late_delivery,2025-06-15 09:04:14
270,115331,not_as_described,2024-12-01 20:17:11
271,6718,late_delivery,2025-01-28 18:58:34
272,191982,late_delivery,2024-10-29 06:13:53
273,169723,changed_mind,2025-02-12 04:54:27
274,192687,damaged,2025-05-12 06:29:14
275,1341,not_as_described,2024-10-17 15:27:55
276,78631,damaged,2025-01-21 21:40:37
277,83714,changed_mind,2025-01-14 17:37:27
278,33015,late_delivery,2024-11-07 16:16:19
279,6048,changed_mind,2024-10-02 09:09:53
280,117394,not_as_described,2025-01-09 08:52:40
281,38918,not_as_described,2025-03-01 04:50:30
282,162772,changed_mind,2025-05-23 18:58:07
283,194532,changed_mind,2025-03-10 03:40:38
284,170267,changed_mind,2025-07-03 08:59:09
285,47277,not_as_described,2025-02-08 03:19:03
286,36611,changed_mind,2025-03-09 02:36:19
287,127275,changed_mind,2025-02-22 18:34:06
288,119121,late_delivery,2025-03-21 03:49:38
289,130528,not_as_described,2025-05-11 09:48:58
290,14159,late_delivery,2025-03-22 15:11:09
291,40778,late_delivery,2025-04-30 12:33:20
292,104900,late_delivery,2024-08-29 09:43:52
293,194959,late_delivery,2025-02-24 17:38:26
294,14604,damaged,2025-03-27 02:27:23
295,23194,late_delivery,2024-11-08 01:28:53
296,131471,not_as_described,2025-02-04 23:23:22
297,163786,damaged,2024-08-22 11:15:00
298,113638,not_as_described,2024-12-27 14:26:20
299,171477,changed_mind,2025-01-31 11:27:01
300,20580,late_delivery,2024-08-26 16:56:41
301,119230,late_delivery,2025-04-09 10:29:03
302,18790,late_delivery,2025-03-31 14:34:17
303,99907,damaged,2024-12-10 12:02:57
304,169608,not_as_described,2024-08-31 19:41:54
305,90381,late_delivery,2024-08-12 12:13:26
306,83361,late_delivery,2025-05-27 01:24:35
307,76678,damaged,2025-05-23 00:12:56
308,193155,changed_mind,2025-02-28 07:39:54
309,40042,damaged,2024-10-09 23:43:56
310,97975,not_as_described,2025-01-08 14:35:15
311,188476,changed_mind,2024-10-09 17:37:56
312,141732,changed_mind,2025-02-20 18:22:15
313,103757,changed_mind,2025-03-19 01:29:29
314,175779,damaged,2025-07-01 20:02:56
315,181212,late_delivery,2025-01-16 14:30:41
316,141946,changed_mind,2025-02-10 13:45:45
317,42128,changed_mind,2024-08-13 06:21:31
318,142664,late_delivery,2024-08-30 11:51:47
319,144911,damaged,2024-07-12 15:10:46
320,70217,changed_mind,2024-09-02 19:42:48
321,118894,damaged,2025-04-13 23:21:27
322,13711,damaged,2024-08-13 20:31:48
323,108390,changed_mind,2025-07-07 12:20:46
324,129081,damaged,2025-05-26 14:35:23
325,35151,changed_mind,2025-01-13 04:03:09
326,180549,late_delivery,2025-01-09 13:41:14
327,69740,late_delivery,2025-02-03 03:11:30
328,132382,damaged,2024-07-31 10:27:14
329,97547,changed_mind,2024-10-24 08:49:42
330,151118,late_delivery,2025-06-12 03:52:06
331,189734,not_as_described,2025-01-05 23:36:02
332,61551,late_delivery,2024-12-18 01:31:14
333,145282,late_delivery,2025-05-21 04:31:21
334,113508,damaged,2025-06-22 20:51:45
335,177019,changed_mind,2025-01-12 23:24:40
336,147241,not_as_described,2024-12-23 18:44:27
337,15784,not_as_described,2024-09-19 08:35:34
338,126346,not_as_described,2025-05-21 08:09:40
339,195114,late_delivery,2025-03-21 01:19:47
340,146317,not_as_described,2025-02-19 05:06:55
341,10155,changed_mind,2024-11-27 14:14:37
342,133770,changed_mind,2024-11-05 22:30:16
343,78244,damaged,2024-08-11 05:52:45
344,48480,not_as_described,2025-04-25 01:37:48
345,53419,changed_mind,2025-01-29 03:21:18
346,183878,damaged,2024-11-02 09:03:23
347,87031,damaged,2024-07-27 00:49:13
348,128873,late_delivery,2024-12-11 12:55:18
349,45580,not_as_described,2025-04-18 16:43:34
350,113438,changed_mind,2024-08-19 04:18:44
351,178828,late_delivery,2024-10-14 14:45:49
352,167860,changed_mind,2025-02-27 23:49:18
353,57538,damaged,2025-06-04 19:53:58
354,34999,not_as_described,2024-09-12 05:59:47
355,145611,late_delivery,2025-01-22 07:15:21
356,199992,damaged,2025-01-05 23:39:13
357,80732,late_delivery,2025-07-01 00:41:17
358,75679,changed_mind,2024-11-15 05:03:58
359,102911,damaged,2024-09-01 11:17:54
360,111512,late_delivery,2025-01-03 00:03:29
361,108597,not_as_described,2025-04-16 15:18:43
362,164764,late_delivery,2024-08-23 20:44:03
363,70232,not_as_described,2024-10-24 21:05:25
364,70174,not_as_described,2025-06-23 05:17:34
365,176375,changed_mind,2025-05-29 18:21:37
366,39505,damaged,2025-06-23 22:06:43
367,16040,late_delivery,2024-08-19 17:35:05
368,163432,not_as_described,2025-05-08 19:35:59
369,81811,late_delivery,2025-01-06 22:34:08
370,139848,not_as_described,2025-05-16 17:05:22
371,159703,not_as_described,2024-08-16 09:36:02
372,174955,changed_mind,2024-12-19 15:15:42
373,72597,late_delivery,2024-10-20 01:07:01
374,16072,changed_mind,2025-05-20 00:00:04
375,56543,not_as_described,2024-08-22 09:30:22
376,49087,not_as_described,2024-08-06 18:03:55
377,158146,changed_mind,2025-07-03 03:28:04
378,19380,not_as_described,2025-05-06 09:14:53
379,29751,changed_mind,2024-07-12 12:36:00
380,131017,changed_mind,2024-11-04 09:09:35
381,10095,changed_mind,2024-08-29 17:37:13
382,68593,changed_mind,2024-11-04 04:11:06
383,49486,not_as_described,2024-08-02 15:31:29
384,69987,late_delivery,2024-12-20 21:10:22
385,154975,late_delivery,2025-03-04 11:40:33
386,156499,late_delivery,2024-09-25 10:31:21
387,121302,damaged,2024-10-03 12:44:34
388,54312,changed_mind,2024-09-30 18:20:43
389,152035,late_delivery,2024-11-30 18:40:30
390,82054,changed_mind,2025-03-15 07:41:02
391,46197,changed_mind,2025-05-10 19:49:05
392,184022,not_as_described,2025-03-08 07:52:40
393,1584,damaged,2025-03-05 00:37:29
394,109560,not_as_described,2024-10-02 11:38:10
395,137869,late_delivery,2024-11-09 09:13:41
396,31546,not_as_described,2024-07-22 04:25:20
397,38789,changed_mind,2025-02-22 01:48:50
398,84876,damaged,2024-09-05 01:57:05
399,180102,late_delivery,2024-11-04 05:12:07
400,9171,changed_mind,2024-10-15 08:18:31
401,83602,damaged,2025-07-01 06:07:38
402,69508,not_as_described,2024-11-13 05:34:55
403,191098,not_as_described,2024-07-25 20:45:08
404,8124,changed_mind,2024-09-20 07:41:22
405,36673,late_delivery,2025-07-02 18:56:34
406,192065,changed_mind,2025-03-03 04:03:53
407,194048,damaged,2025-03-01 21:16:20
408,20694,late_delivery,2025-06-18 04:15:34
409,139710,not_as_described,2024-10-29 21:01:18
410,170546,late_delivery,2024-07-19 10:43:40
411,8886,damaged,2024-08-04 13:19:41
412,154657,not_as_described,2024-12-25 04:28:55
413,120938,not_as_described,2025-01-10 03:57:34
414,110128,late_delivery,2025-03-02 08:11:53
415,165293,changed_mind,2024-10-09 05:36:39
416,52351,not_as_described,2025-06-23 02:28:24
417,51789,not_as_described,2025-03-12 20:18:24
418,169369,late_delivery,2024-08-11 04:41:53
419,182927,damaged,2025-03-24 23:38:48
420,163824,changed_mind,2024-11-27 00:46:55
421,186573,changed_mind,2025-07-10 12:52:51
422,139729,late_delivery,2025-03-20 08:22:13
423,106732,changed_mind,2024-11-24 09:55:21
424,55998,changed_mind,2024-10-12 17:51:27
425,113818,late_delivery,2025-02-08 10:36:01
426,12144,not_as_described,2024-12-15 06:19:00
427,149407,not_as_described,2025-07-04 04:22:20
428,147746,damaged,2025-06-16 15:23:40
429,176337,changed_mind,2025-05-15 18:53:56
430,96300,late_delivery,2025-05-31 03:34:01
431,51528,changed_mind,2025-03-08 17:02:41
432,117018,not_as_described,2025-06-25 09:23:56
433,130738,changed_mind,2024-12-24 19:50:38
434,109592,late_delivery,2024-08-31 20:34:48
435,171137,changed_mind,2024-09-18 06:00:53
436,118840,changed_mind,2025-02-05 23:46:14
437,132866,late_delivery,2025-05-23 11:47:31
438,125680,not_as_described,2025-05-21 06:11:58
439,110167,changed_mind,2024-12-18 11:17:20
440,138850,changed_mind,2024-12-27 16:14:32
441,71094,not_as_described,2025-06-05 02:45:32
442,4820,damaged,2025-03-27 15:42:13
443,154287,changed_mind,2024-09-23 19:35:19
444,77892,late_delivery,2024-11-22 01:13:08
445,167302,damaged,2025-05-14 06:29:51
446,85155,not_as_described,2024-10-02 07:44:24
447,83441,not_as_described,2025-07-06 13:37:22
448,49104,changed_mind,2025-03-22 17:03:24
449,123157,not_as_described,2025-04-23 17:23:27
450,190511,damaged,2025-01-08 19:20:02
451,131780,late_delivery,2025-02-21 23:32:51
452,107534,not_as_described,2025-04-04 04:27:11
453,36086,changed_mind,2024-09-26 16:36:00
454,39049,not_as_described,2024-07-28 22:03:13
455,177753,not_as_described,2025-04-07 23:58:14
456,25801,damaged,2025-06-06 15:21:49
457,104403,not_as_described,2025-02-27 01:36:10
458,161137,late_delivery,2025-04-03 23:41:55
459,1305,changed_mind,2024-11-01 18:23:46
460,144685,changed_mind,2025-03-13 21:36:43
461,66198,late_delivery,2025-01-26 03:30:09
462,175620,changed_mind,2025-01-14 18:08:49
463,188185,changed_mind,2025-01-18 08:36:26
464,180079,late_delivery,2025-01-30 02:11:52
465,155089,damaged,2024-07-29 03:11:02
466,103591,damaged,2025-04-01 07:54:08
467,155288,changed_mind,2025-01-20 07:33:18
468,158024,not_as_described,2025-07-02 12:18:12
469,93464,damaged,2025-04-05 11:15:21
470,176020,late_delivery,2024-08-23 21:55:12
471,153106,late_delivery,2024-11-03 07:20:41
472,185192,not_as_described,2024-10-05 18:12:12
473,139418,damaged,2025-04-16 00:25:28
474,121485,late_delivery,2025-03-07 23:32:07
475,188199,late_delivery,2024-08-22 18:30:27
476,10813,changed_mind,2025-02-16 16:56:14
477,56080,damaged,2024-11-30 11:26:03
478,141826,late_delivery,2025-05-25 22:09:52
479,182843,not_as_described,2025-04-09 22:37:47
480,31261,late_delivery,2024-09-02 02:51:37
481,65658,changed_mind,2024-11-06 21:23:04
482,136745,damaged,2025-01-28 17:50:07
483,46535,damaged,2024-09-25 00:19:36
484,69269,damaged,2025-07-07 15:57:39
485,6748,damaged,2025-01-03 23:24:59
486,153455,not_as_described,2024-09-16 17:24:20
487,156737,not_as_described,2024-09-11 02:19:04
488,146067,late_delivery,2025-01-05 21:48:18
489,81884,late_delivery,2025-02-17 22:04:38
490,116129,changed_mind,2025-01-28 12:25:39
491,39921,damaged,2025-01-19 07:39:17
492,90132,late_delivery,2025-02-26 17:33:22
493,136278,damaged,2024-12-01 03:00:32
494,85639,damaged,2024-10-29 12:12:28
495,64072,not_as_described,2025-01-09 18:49:58
496,107407,late_delivery,2025-06-25 06:23:50
497,91205,late_delivery,2024-12-10 21:57:13
498,57776,late_delivery,2024-09-21 08:53:32
499,75052,not_as_described,2025-02-17 06:48:31
500,138244,not_as_described,2025-06-29 03:11:22
501,10815,not_as_described,2024-12-30 23:16:03
502,158885,not_as_described,2025-04-23 08:52:22
503,127518,damaged,2024-12-17 02:27:13
504,67009,damaged,2025-06-28 13:57:21
505,122558,changed_mind,2025-04-23 10:05:06
506,108885,not_as_described,2024-11-10 01:04:29
507,174492,not_as_described,2024-11-26 17:36:02
508,136992,damaged,2025-03-26 06:13:49
509,60910,late_delivery,2025-01-15 21:01:23
510,157265,late_delivery,2025-03-23 21:24:20
511,60086,not_as_described,2024-11-08 12:39:30
512,44220,late_delivery,2025-03-06 08:54:10
513,107927,late_delivery,2025-05-31 06:15:32
514,188326,changed_mind,2025-01-02 15:10:41
515,57073,changed_mind,2025-04-03 05:39:48
516,159184,changed_mind,2024-08-20 17:49:20
517,152748,late_delivery,2025-02-17 19:22:47
518,194657,late_delivery,2025-03-04 12:53:55
519,85078,damaged,2025-02-22 11:37:06
520,57945,damaged,2024-10-09 16:25:58
521,51218,not_as_described,2025-01-09 23:27:15
522,70230,not_as_described,2024-07-16 01:11:46
523,11803,not_as_described,2024-08-29 20:09:19
524,184367,not_as_described,2025-02-20 21:27:53
525,146262,changed_mind,2025-06-04 20:24:39
526,26214,late_delivery,2024-07-18 01:26:11
527,134009,not_as_described,2025-03-02 08:56:21
528,101984,not_as_described,2025-06-05 07:04:49
529,151178,damaged,2025-01-19 10:07:07
530,187511,changed_mind,2024-08-06 19:57:48
531,157367,not_as_described,2025-05-27 09:16:58
532,129801,changed_mind,2025-03-22 16:54:36
533,108153,late_delivery,2024-12-02 10:32:35
534,167973,not_as_described,2024-09-29 00:56:56
535,191923,not_as_described,2024-08-19 03:07:58
536,132760,not_as_described,2025-06-19 08:39:09
537,125481,changed_mind,2024-10-20 14:02:33
538,18031,late_delivery,2024-10-27 20:55:33
539,77621,late_delivery,2025-02-16 01:34:11
540,152777,changed_mind,2025-04-07 11:18:31
541,126876,late_delivery,2025-01-14 00:21:32
542,194229,not_as_described,2025-04-10 05:12:15
543,163467,damaged,2025-03-14 09:45:23
544,198131,not_as_described,2025-06-10 18:15:28
545,130344,late_delivery,2024-11-10 15:09:27
546,123680,late_delivery,2025-04-18 22:32:39
547,51570,changed_mind,2024-09-15 16:05:29
548,193854,late_delivery,2025-01-22 01:38:15
549,75026,not_as_described,2025-06-08 05:30:38
550,41705,damaged,2025-05-02 23:23:49
551,118413,late_delivery,2025-04-11 18:42:40
552,137577,changed_mind,2025-01-20 00:47:57
553,36687,changed_mind,2025-04-23 23:44:10
554,46668,late_delivery,2024-08-31 16:34:01
555,3187,late_delivery,2025-03-15 22:45:11
556,193376,not_as_described,2025-04-04 23:34:29
557,83315,late_delivery,2024-08-28 10:43:35
558,45149,late_delivery,2024-09-17 22:03:58
559,191263,damaged,2025-03-14 23:38:39
560,18216,changed_mind,2025-06-25 09:46:57
561,13000,not_as_described,2025-02-25 18:19:17
562,8613,not_as_described,2025-06-13 12:20:58
563,55394,changed_mind,2024-11-10 15:49:10
564,97302,late_delivery,2024-07-22 06:04:05
565,74686,late_delivery,2025-06-16 17:41:35
566,115120,damaged,2024-11-16 09:23:39
567,82045,not_as_described,2025-04-22 18:37:16
568,197122,damaged,2024-11-23 12:37:12
569,158,late_delivery,2025-06-14 21:24:35
570,169266,damaged,2025-03-24 05:57:06
571,13887,late_delivery,2024-11-06 23:05:43
572,72225,late_delivery,2025-05-14 02:16:46
573,115000,not_as_described,2024-08-03 01:29:06
574,129188,late_delivery,2025-04-01 05:05:18
575,162761,damaged,2024-10-03 15:19:42
576,6231,not_as_described,2025-06-06 04:29:10
577,77592,not_as_described,2025-06-24 01:27:29
578,95217,late_delivery,2025-05-29 02:56:15
579,13787,changed_mind,2025-01-16 04:39:10
580,51163,changed_mind,2025-05-12 19:57:14
581,147702,not_as_described,2024-12-14 19:46:36
582,141281,not_as_described,2024-09-03 13:53:43
583,186915,changed_mind,2024-08-13 04:40:54
584,11595,changed_mind,2025-04-13 01:06:51
585,196883,changed_mind,2024-10-19 16:59:09
586,135712,late_delivery,2025-06-29 18:20:49
587,30625,damaged,2024-08-29 12:20:59
588,107953,not_as_described,2024-08-20 01:44:06
589,67155,changed_mind,2024-08-28 13:22:50
590,117501,damaged,2024-07-19 17:13:40
591,15035,damaged,2025-07-04 10:25:15
592,32615,changed_mind,2024-09-28 00:51:01
593,150162,not_as_described,2025-04-12 02:24:56
